timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685050847707,26,MainPage,200,OK,Application 1-4,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847707,26,SignIn,200,OK,Application 1-7,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847709,25,SignIn,200,OK,Application 1-6,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,25,0,0
1685050847688,50,MainPage,200,OK,Application 1-9,text,true,,891,122,6,6,http://194.47.178.234:8081/,50,0,25
1685050847728,26,MainPage,200,OK,Application 1-8,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847727,27,SignIn,200,OK,Application 1-5,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847733,26,MainPage,200,OK,Application 1-7,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847733,26,SignIn,200,OK,Application 1-4,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847735,25,MainPage,200,OK,Application 1-6,text,true,,891,122,5,5,http://194.47.178.234:8081/,25,0,0
1685050847738,26,SignIn,200,OK,Application 1-9,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847754,26,SignIn,200,OK,Application 1-8,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847754,26,MainPage,200,OK,Application 1-5,text,true,,891,122,5,5,http://194.47.178.234:8081/,26,0,0
1685050847759,25,SignIn,200,OK,Application 1-7,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,25,0,0
1685050847760,26,SignIn,200,OK,Application 1-6,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847765,25,MainPage,200,OK,Application 1-9,text,true,,891,122,6,6,http://194.47.178.234:8081/,25,0,0
1685050847780,26,SignIn,200,OK,Application 1-5,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847780,26,MainPage,200,OK,Application 1-8,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847785,26,MainPage,200,OK,Application 1-7,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847786,28,MainPage,200,OK,Application 1-6,text,true,,891,122,6,6,http://194.47.178.234:8081/,28,0,0
1685050847791,26,SignIn,200,OK,Application 1-9,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847807,28,SignIn,200,OK,Application 1-8,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,28,0,0
1685050847807,28,MainPage,200,OK,Application 1-5,text,true,,891,122,6,6,http://194.47.178.234:8081/,28,0,0
1685050847811,28,SignIn,200,OK,Application 1-7,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,28,0,0
1685050847815,26,SignIn,200,OK,Application 1-6,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847788,53,MainPage,200,OK,Application 1-10,text,true,,891,122,6,6,http://194.47.178.234:8081/,53,0,28
1685050847817,26,MainPage,200,OK,Application 1-9,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847836,26,SignIn,200,OK,Application 1-5,text,true,,891,130,6,6,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847836,26,MainPage,200,OK,Application 1-8,text,true,,891,122,6,6,http://194.47.178.234:8081/,26,0,0
1685050847840,30,MainPage,200,OK,Application 1-7,text,true,,891,122,5,5,http://194.47.178.234:8081/,30,0,0
1685050847841,29,SignIn,200,OK,Application 1-10,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,29,0,0
1685050847841,30,MainPage,200,OK,Application 1-6,text,true,,891,122,5,5,http://194.47.178.234:8081/,30,0,0
1685050847844,27,SignIn,200,OK,Application 1-9,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847863,25,SignIn,200,OK,Application 1-8,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,25,0,0
1685050847870,26,SignIn,200,OK,Application 1-7,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,26,0,0
1685050847870,26,MainPage,200,OK,Application 1-10,text,true,,891,122,5,5,http://194.47.178.234:8081/,26,0,0
1685050847872,24,MainPage,200,OK,Application 1-9,text,true,,891,122,5,5,http://194.47.178.234:8081/,24,0,0
1685050847871,27,SignIn,200,OK,Application 1-6,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,27,0,0
1685050847889,26,MainPage,200,OK,Application 1-8,text,true,,891,122,5,5,http://194.47.178.234:8081/,26,0,0
1685050847897,26,MainPage,200,OK,Application 1-7,text,true,,891,122,5,5,http://194.47.178.234:8081/,26,0,0
1685050847897,27,SignIn,200,OK,Application 1-10,text,true,,891,130,5,5,http://194.47.178.234:8081/sign-in/,26,0,0
